hero_id,hero,tags,source
59,huskar,blue|fiery|nicepecs|undead,client-npc_heroes-2026-08-17
60,night_stalker,blue|flying|nicepecs|wings,client-npc_heroes-2026-08-17
61,broodmother,female|parent|red,client-npc_heroes-2026-08-17
62,bounty_hunter,badteeth|masked|yellow,client-npc_heroes-2026-08-17
63,weaver,blue,client-npc_heroes-2026-08-17
64,jakiro,blue|fiery|flying|icy|red|wings,client-npc_heroes-2026-08-17
65,batrider,arachnophobic|caped|fiery|flying|red|steed|yellow,client-npc_heroes-2026-08-17
66,chen,arachnophobic|steed|yellow,client-npc_heroes-2026-08-17
67,spectre,female|purple|undead,client-npc_heroes-2026-08-17
68,ancient_apparition,blue|flying|icy,client-npc_heroes-2026-08-17
69,doom_bringer,arachnophobic|demon|fiery|horns|red|wings,client-npc_heroes-2026-08-17
70,ursa,fuzzy|parent|purple,client-npc_heroes-2026-08-17
71,spirit_breaker,bearded|blue|horns,client-npc_heroes-2026-08-17
72,gyrocopter,flying|masked|steed|yellow,client-npc_heroes-2026-08-17
73,alchemist,bearded|potbelly|steed|yellow,client-npc_heroes-2026-08-17
74,invoker,caped|fiery|icy|parent,client-npc_heroes-2026-08-17
75,silencer,purple,client-npc_heroes-2026-08-17
76,obsidian_destroyer,arachnophobic|flying|green|wings,client-npc_heroes-2026-08-17
77,lycan,arachnophobic|bearded|fuzzy|red,client-npc_heroes-2026-08-17
78,brewmaster,fiery|fuzzy|potbelly|red,client-npc_heroes-2026-08-17
79,shadow_demon,caped|demon|nicepecs|red,client-npc_heroes-2026-08-17
80,lone_druid,arachnophobic|bearded|brown|fuzzy,client-npc_heroes-2026-08-17
81,chaos_knight,masked|red|steed,client-npc_heroes-2026-08-17
82,meepo,cute|fuzzy|parent,client-npc_heroes-2026-08-17
83,treant,brown|green,client-npc_heroes-2026-08-17
84,ogre_magi,blue|fiery|potbelly,client-npc_heroes-2026-08-17
85,undying,badteeth|green|undead,client-npc_heroes-2026-08-17
86,rubick,arachnophobic|caped|green|yellow,client-npc_heroes-2026-08-17
87,disruptor,bearded|red|steed,client-npc_heroes-2026-08-17
88,nyx_assassin,red,client-npc_heroes-2026-08-17
89,naga_siren,aquatic|female|green,client-npc_heroes-2026-08-17
90,keeper_of_the_light,bearded|parent|steed|yellow,client-npc_heroes-2026-08-17
91,wisp,blue|flying,client-npc_heroes-2026-08-17
92,visage,blue|flying|wings,client-npc_heroes-2026-08-17
93,slark,aquatic,client-npc_heroes-2026-08-17
94,medusa,female|green,client-npc_heroes-2026-08-17
95,troll_warlord,red,client-npc_heroes-2026-08-17
96,centaur,bearded|brown|horns,client-npc_heroes-2026-08-17
97,magnataur,brown|fuzzy|horns,client-npc_heroes-2026-08-17
98,shredder,badteeth|purple|steed,client-npc_heroes-2026-08-17
99,bristleback,nicepecs|yellow,client-npc_heroes-2026-08-17
100,tusk,arachnophobic|fuzzy|icy,client-npc_heroes-2026-08-17
101,skywrath_mage,flying|wings,client-npc_heroes-2026-08-17
102,abaddon,blue|caped|purple|steed,client-npc_heroes-2026-08-17
103,elder_titan,horns|nicepecs|parent|yellow,client-npc_heroes-2026-08-17
104,legion_commander,female|red,client-npc_heroes-2026-08-17
105,techies,fiery|potbelly|steed|yellow,client-npc_heroes-2026-08-17
106,ember_spirit,fiery|red|spirit,client-npc_heroes-2026-08-17
107,earth_spirit,green|nicepecs|spirit,client-npc_heroes-2026-08-17
108,abyssal_underlord,demon|green|horns|potbelly,client-npc_heroes-2026-08-17
109,terrorblade,demon|horns|purple|wings,client-npc_heroes-2026-08-17
110,phoenix,fiery|flying|red|wings|yellow,client-npc_heroes-2026-08-17
111,oracle,blue|caped|flying,client-npc_heroes-2026-08-17
112,winter_wyvern,blue|female|flying|icy|wings,client-npc_heroes-2026-08-17
113,arc_warden,arachnophobic|blue|caped,client-npc_heroes-2026-08-17
114,monkey_king,caped|fuzzy|green,client-npc_heroes-2026-08-17
119,dark_willow,cute|female|flying|green|purple|wings,client-npc_heroes-2026-08-17
120,pangolier,fuzzy|parent|red,client-npc_heroes-2026-08-17
121,grimstroke,bearded|flying|masked|undead,client-npc_heroes-2026-08-17
123,hoodwink,cute|female|fuzzy|green,client-npc_heroes-2026-08-17
126,void_spirit,bearded|nicepecs|purple|spirit,client-npc_heroes-2026-08-17
127,target_dummy,,client-npc_heroes-2026-08-17
128,snapfire,female|red|steed,client-npc_heroes-2026-08-17
129,mars,bearded|nicepecs|parent|red,client-npc_heroes-2026-08-17
131,ringmaster,red|yellow,client-npc_heroes-2026-08-17
135,dawnbreaker,female|fiery|yellow,client-npc_heroes-2026-08-17
136,marci,caped|cute|female,client-npc_heroes-2026-08-17
137,primal_beast,badteeth|brown|red,client-npc_heroes-2026-08-17
138,muerta,blue|caped|female|green|undead,client-npc_heroes-2026-08-17
145,kez,blue,client-npc_heroes-2026-08-17
155,largo,brown|green,client-npc_heroes-2026-08-17
